"","A","Y","C","W","L","U"
"1",3.08263130333439,4.26779238638554,1,1,1,1
"2",4.12515348141307,3.26471421933391,1,1,1,1
"3",-0.454817736443608,3.23066453658984,0,0,1,1
"4",0.49433984328901,-0.370540520662471,0,0,0,0
"5",-0.227380516039905,1.32810402914167,0,0,0,0
"6",-0.419246869479002,2.699898188487,0,0,1,1
"7",1.40481147896954,2.45921830398227,1,1,1,1
"8",-0.352317162822771,0.24747174715466,0,0,0,0
"9",-0.740780634824209,-0.493948901144234,0,0,0,0
"10",-0.921811468890701,2.5652733864489,0,0,1,1
"11",3.40205901979997,4.12063717010066,1,1,1,1
"12",-0.0939649618588791,0.578560522088509,0,0,0,0
"13",-1.02727538274651,-0.964154863220429,0,0,0,0
"14",3.16009755283479,0.244284194682429,0,1,0,0
"15",-1.3312326387312,1.65897512352244,0,0,1,1
"16",4.48725540235869,-0.126481013688745,0,1,0,0
"17",-0.546278505717318,2.66586274978234,1,0,1,1
"18",4.26537618132421,1.77508233763117,0,1,1,1
"19",4.26727317582215,0.544855629318063,1,1,0,0
"20",3.09677974645343,2.22328016871819,1,1,1,1
"21",1.63972373286813,3.58830880106108,0,0,1,1
"22",3.6601126838129,-0.783236738580036,1,1,0,0
"23",-0.501036956291145,0.614237352856963,1,0,1,0
"24",-0.796652737471888,-0.489548988959635,0,0,0,0
"25",0.17202648809978,0.3779209850898,1,0,1,0
"26",0.174777246478817,2.76833188663236,0,0,1,1
"27",1.86252923214941,-1.11942654723946,0,0,0,0
"28",0.211266998998956,0.601336715993241,0,0,1,1
"29",5.72594412366328,0.856164327382259,0,1,0,0
"30",0.758604970866423,4.44314590394378,1,0,1,1
"31",4.1377665825578,1.85588848224022,1,1,1,0
"32",0.238898328882446,-0.49491166295426,0,0,0,0
"33",-1.46686904327405,-0.346070639028023,0,0,0,0
"34",-0.0515791795464149,0.265207102000132,0,0,0,0
"35",-0.897778336411977,-0.804150346662189,0,0,0,0
"36",3.28055143146325,1.2932391802945,1,1,1,1
"37",4.82753818063046,1.87819787603119,1,1,1,1
"38",-1.81067271221762,2.36738901153351,1,0,1,1
"39",5.00221341785535,-0.800839940723321,1,1,0,0
"40",-0.00736717277856839,-1.03000631177196,0,0,0,0
"41",0.389415470379252,3.68101009735739,0,0,1,1
"42",2.59362123021343,-0.393105822536151,1,1,1,0
"43",2.59313146734975,3.70393322457946,0,1,1,1
"44",-0.780453743156055,1.83291070050456,1,0,1,1
